row_id,type,name,min_players,max_players,playingtime,minimum_age,release_year,average_rating,num_of_ratings,weight,num_of_weights,bayes_average,std_deviation,language_dependency,owned,trading,wanting,wishing,rank_boardgame
80,boardgameexpansion,VolgaFront: East of EastFront 1942-43,2,2,240,12,1994,7.66714,70,3.0,14,5.55869,1.23632,3: Moderate in-game text - needs crib sheet or paste ups,340,16,11,24,
81,boardgameexpansion,"EuroFront: War in Europe, 1939-45",2,6,600,12,1995,7.09895,95,3.6875,16,5.55653,1.44925,3: Moderate in-game text - needs crib sheet or paste ups,382,30,4,13,
158,boardgameexpansion,Elfengold,2,6,120,10,1999,6.93626,666,2.5893,56,5.81905,1.32552,1: No necessary in-game text,1864,63,78,153,
177,boardgameexpansion,Advanced Civilization,2,8,480,12,1991,8.00935,3406,3.6619,417,6.92238,1.65872,2: Some necessary text - easily memorized or small crib sheet,3933,92,207,588,
227,boardgameexpansion,Knightmare Chess,2,2,60,10,1994,6.44406,1411,2.596,99,5.83572,1.48717,4: Extensive use of text - massive conversion needed to be playable,2816,107,29,162,
306,boardgameexpansion,Die Siedler von Catan: Historische Szenarien,3,4,90,10,1998,6.51477,1108,2.5155,97,5.81422,1.37326,2: Some necessary text - easily memorized or small crib sheet,3831,122,17,64,
325,boardgameexpansion,Catan: Seafarers,3,4,90,10,1997,7.16486,21273,2.3749,1211,6.91156,1.34217,2: Some necessary text - easily memorized or small crib sheet,52277,508,212,1541,
370,boardgameexpansion,El Grande: König & Intrigant,2,5,90,12,1997,7.41992,704,3.0556,72,5.93948,1.49674,3: Moderate in-game text - needs crib sheet or paste ups,2522,76,17,67,
453,boardgameexpansion,Bohnanza: La Isla Bohnitâ,2,7,90,12,1998,5.86933,804,2.0,57,5.59269,1.39625,1: No necessary in-game text,3250,96,19,38,
467,boardgameexpansion,Bohnanza Erweiterungs-Set,3,7,45,12,1997,7.04729,888,1.6267,75,5.9161,1.17791,1: No necessary in-game text,2208,38,17,40,
576,boardgameexpansion,Illuminati: Y2K,2,6,180,13,1999,6.9865,622,2.5455,55,5.77339,1.51409,3: Moderate in-game text - needs crib sheet or paste ups,1821,32,22,71,
583,boardgameexpansion,The El Grande Expansions,2,5,90,12,2000,7.33629,620,3.0833,60,5.87297,1.42013,3: Moderate in-game text - needs crib sheet or paste ups,1698,30,45,98,
597,boardgameexpansion,El Grande: Grandissimo,2,5,90,12,2000,6.92076,330,3.0882,34,5.67439,1.43764,4: Extensive use of text - massive conversion needed to be playable,1478,49,14,53,
913,boardgameexpansion,High Bohn,3,5,45,12,2000,6.63688,388,1.8214,28,5.65795,1.3743,2: Some necessary text - easily memorized or small crib sheet,1569,41,23,49,
926,boardgameexpansion,Catan: Cities & Knights,3,4,150,12,1998,7.45236,21741,2.8964,1457,7.15034,1.4649,3: Moderate in-game text - needs crib sheet or paste ups,49033,494,228,1837,
995,boardgameexpansion,Svea Rike: Batalj,2,5,180,12,1998,5.16837,98,2.5,8,5.48589,1.64277,4: Extensive use of text - massive conversion needed to be playable,217,6,16,18,
1137,boardgameexpansion,Die Siedler von Catan: Das Buch zum Spielen,2,6,60,12,2000,7.28887,747,2.9231,65,5.91347,1.34271,4: Extensive use of text - massive conversion needed to be playable,2362,89,19,91,
1248,boardgameexpansion,Hacker II: The Dark Side,2,8,120,12,1993,6.25447,179,2.3846,13,5.547,1.45445,1: No necessary in-game text,501,17,12,11,
1347,boardgameexpansion,Simple GBoH,2,2,90,10,2000,7.52783,300,2.9744,39,5.7134,1.54638,3: Moderate in-game text - needs crib sheet or paste ups,1272,27,23,77,
1361,boardgameexpansion,Die Siedler von Catan: Historische Szenarien II,4,6,90,10,2001,6.91243,633,2.3833,60,5.79308,1.25974,1: No necessary in-game text,2268,55,27,80,
1487,boardgameexpansion,"Another Day, Another Dollar: Horror",3,8,45,10,2000,6.23562,160,1.8182,11,5.54514,1.15713,1: No necessary in-game text,444,14,5,17,
1494,boardgameexpansion,Bohnanza Erweiterungs-Set (Revised Edition),3,7,60,12,2001,7.00381,1584,1.782,133,6.09458,1.12966,1: No necessary in-game text,4909,45,22,66,
1521,boardgameexpansion,Supremacy: Warlords and Pirates of the Neutral Zones,0,0,10,12,1987,6.2819,163,2.2222,9,5.54305,1.76823,3: Moderate in-game text - needs crib sheet or paste ups,486,26,11,18,
1526,boardgameexpansion,PitchCar: Extension 1,2,8,20,6,1997,7.60773,1897,1.0874,103,6.44872,1.27498,1: No necessary in-game text,4400,41,232,366,
1532,boardgameexpansion,Supremacy: Resource Deck Two,2,6,340,12,1987,6.5485,133,2.8571,7,5.55174,1.74774,1: No necessary in-game text,385,22,13,16,
1541,boardgameexpansion,Block Mania: Mega-Mania,3,4,180,14,1987,6.78739,237,2.35,20,5.61744,1.52872,2: Some necessary text - easily memorized or small crib sheet,694,16,22,35,
1565,boardgameexpansion,Mississippi Queen: The Black Rose,2,6,60,10,1998,6.70842,868,1.8816,76,5.83111,1.26422,1: No necessary in-game text,2027,86,105,140,
1569,boardgameexpansion,RoboRally: Armed and Dangerous,2,8,90,12,1995,7.78315,1441,2.6852,108,6.33304,1.40539,3: Moderate in-game text - needs crib sheet or paste ups,2959,60,188,328,
1573,boardgameexpansion,Banzai,2,2,60,12,1984,8.20487,530,3.2931,58,5.98784,1.33833,4: Extensive use of text - massive conversion needed to be playable,1504,41,65,96,
1605,boardgameexpansion,Ambush!: Purple Heart,1,1,240,12,1985,7.75896,460,3.2222,45,5.84541,1.37221,4: Extensive use of text - massive conversion needed to be playable,1613,22,102,152,
1606,boardgameexpansion,Ambush!: Move Out!,1,1,240,12,1984,7.6475,555,3.1273,55,5.89264,1.33288,4: Extensive use of text - massive conversion needed to be playable,1942,37,88,136,
1612,boardgameexpansion,Ambush!: Silver Star,1,1,240,12,1987,7.68669,337,3.1613,31,5.75406,1.3927,4: Extensive use of text - massive conversion needed to be playable,1223,19,120,167,
1667,boardgameexpansion,Battle Hymn: Leatherneck,1,1,240,12,1988,7.85742,182,3.2917,24,5.6512,1.33139,4: Extensive use of text - massive conversion needed to be playable,754,12,76,113,
1670,boardgameexpansion,Modern Naval Battles II: The Campaign Game,2,6,90,12,1990,6.80584,154,2.25,16,5.57502,1.29531,3: Moderate in-game text - needs crib sheet or paste ups,420,19,5,11,
