row_id,boardgame,strategygames,thematic,wargames,familygames,cgs,abstracts,partygames,childrensgames,rpgitem
224517,1,1,,,,,,,,
187645,10,,5,,,,,,,
201808,100,95,,,18,,,,,
56692,1000,,,,286,,,,,
5235,10000,,,1500,,,,,,
55679,10001,,,2116,,,,,,
424753,10002,,,,,,,,,
421299,10003,,,,,,,,,
271044,10004,,1353,,,,,,,
14186,10005,,,,,,390,,,
250355,10006,,,,,,,,,
242753,10007,,,,,132,,,,
319223,10008,,,,,,,,,
154939,10009,,,,,,,,,
297129,1001,,,,257,,,,,
254846,10010,,,,,,,,,
127188,10011,,,,,,,,,
24511,10012,,,,,,,,,
101796,10013,,,,,,,610,,
254132,10015,,,,,,,,,
723,10016,,1399,,,,,,,
40561,10017,,,,,,,,,
37362,10018,,,,2396,,,,,
137744,10019,,,,,,,,,
30645,1002,591,,,,,,,,
261490,10020,,,,,,341,,,
198408,10021,,,,2425,,,,,
536,10022,,,,,,,,,
60316,10023,,,,2382,,,,,
6627,10024,,,,2420,,,,,
867,10025,2609,,,,,358,,,
430702,10026,,,,,,,,,
296666,10027,,,1161,,,,,,
158098,10028,,,1290,,,,,,
155119,10029,,,,2455,,,661,,
267319,1003,,,,250,,,,,
129946,10030,,,,,,,,,
82272,10031,2614,,,,,,,,
351765,10032,,,,2371,,,,,
430817,10033,,,,,,,,,
240902,10034,,,1321,,,,,,
354395,10035,,,,,,,,,
388753,10036,,,,,,,,,
191895,10037,,,,,,,546,172,
8976,10038,,,1404,,,,,,
137141,10039,,1289,2119,,,,,,
196526,1004,595,,,,,,,,
3385,10040,2705,,,2470,,,,,
123129,10041,,,,,,,,,
218957,10042,,,,,,,,,
444547,10043,,,,,,,,,
356954,10044,,,,,,,,,
375408,10045,,,,,,,,,
142432,10047,,,,2444,,,,,
80933,10049,,,,,,,557,,
227460,1005,,,20,,,,,,
1827,10050,,1395,,,,,,,
416850,10051,,,,,,,,,
377028,10052,,,,,,,,,
215436,10053,,,,,,,,,
1844,10054,,,1787,,,,,,
188991,10055,,,,2437,,,,,
410273,10056,,,,,,,,,
163354,10057,,,,2446,,,,,
315882,10058,,,,,,,,,
74596,10059,,,,,,,,,
2093,1006,,,,,,72,,,
377057,10060,,,,,,,,,
296644,10061,,,1242,,,,,,
264685,10062,,,1717,,,,,,
31554,10063,,,1223,,,,,,
370649,10064,,,,,,,,,
195373,10065,,,,2424,,,,,
76207,10067,2627,1331,,,,,,,
306577,10068,,,,,,,,,
2543,10069,,,,,,,,,
219215,1007,,,,,,,49,,
332229,10070,,1252,,,,,,,
397747,10071,,,,,,,,,
298309,10072,,,,,,,,,
431053,10073,,,,,,,,,
128537,10074,,,,,,,,,
20228,10075,2615,,,,,,,,
339222,10076,,,,,,,,,
3600,10077,,,1474,,,,,,
303621,10078,,,,2392,,,572,,
8553,10079,,,,,,330,,,
192457,1008,631,,300,,,,,,
215521,10080,,,,,,,,,
14042,10081,,,,,,,562,,
203800,10082,,,1919,,,,,,
2179,10083,,,,2402,,,,,
281982,10085,,,,,,,,,
385765,10086,,,,,,,,,
35220,10087,,,1303,,,,,,
10164,10088,,,,,,,580,335,
182638,10089,,,,,,,,,
179275,1009,,290,,,,,,,
282544,10090,,,,,,,,,
285570,10091,,,,,,,,,
241805,10092,,,1179,,,,,,
359763,10093,,,,,,,,,
4292,10094,,,1234,,,,,,
189829,10095,,,,,,,,,
6646,10096,2683,,1925,,,,,,
232956,10097,,,,,,,,,
2123,10099,,,,,157,,,,
359871,101,80,,,,,,,,
197443,1010,,,,270,,,,,
485,10100,,,,2490,,,,,
289802,10101,,,,,,,,,
4009,10103,,,1514,,,,,,
66080,10104,,,1306,,,,,,
239845,10105,,,,,,,,,
202026,10106,,,,,,,,,
118553,10107,,,,,,,,,
422368,10108,,,,,,,,,
197061,10109,,,,,,,,,
122298,1011,,,,298,,,,,
12764,10110,2610,,,,,,,,
4270,10111,,,1304,,,,,,
42448,10112,,,,,,,644,,
175464,10113,,,1123,,,,,,
36339,10114,,,1224,,,,,,
364266,10115,,,,,,,,,
260465,10116,,,1215,,,,,,
347755,10117,,,,,,,,,
258561,10118,,,,,,,,,
161921,10119,,,,,,337,,,
317457,1012,596,213,,,,,,,
171489,10120,,,,,,,,,
182178,10121,,,,,,,,,
408383,10122,,,,,,,,,
428989,10123,,,,,,,,,
341362,10124,,,,,,,,,
193725,10125,,,1644,,,,,,
259837,10126,,,,,,,,,
1489,10127,,,,2491,,,,,
287899,10128,,,1602,,,,,,
156737,10129,,,,,,,,,
284818,1013,567,,,,,,,,
2524,10130,,,1678,,,,,,
264452,10131,,,,,,,,,
67436,10132,,,,,,,,364,
295368,10133,,,,,,,,,
140314,10134,2729,,,,,,,,
234104,10135,,,,2438,,,,,
446223,10136,,,,,,,,,
142265,10137,,,,,,,,,
4241,10138,,,1240,,,,,,
448432,10139,,,,,,,,,
12002,1014,653,,,,,,,,
223033,10140,,,,,,,,,
67361,10141,2644,1303,,,,,,,
404045,10142,,1307,,,,,,,
394430,10143,,,,,,,,,
369800,10144,,,,,,,,,
87200,10145,2612,,,,,,,,
447587,10146,,,,,,,,,
263,10147,2631,,,2422,,,,,
173759,10148,2701,,,2411,,,,,
257962,10149,,,,2412,,,,,
216459,1015,,265,,,,,,,
391084,10150,,,,,,,,,
199357,10151,,,,,,,,,
15235,10152,,,1358,,,,,,
366753,10153,,,,,,,,,
7662,10154,,,1228,,,,,,
18400,10155,,1296,1978,,,,,,
320960,10156,,1306,,2405,,,,,
25196,10157,,,,,,611,,,
411982,10158,,,,,,,,,
183720,10159,,,,,,,,202,
176165,1016,641,,,277,,,,,
203042,10160,,,,,,,,,
274072,10161,,,,,,,,,
136245,10162,,,,,,,,,
209206,10163,,,,,,448,,,
72448,10164,,,,,,,637,,
5060,10165,,,1359,,,,,,
1471,10166,2659,,,,,,,,
40370,10167,,,,2408,,,,,
371333,10168,,,,,,,,,
2742,10169,,,1282,,,,,,
218479,1017,540,,,,,,,,
40759,10170,,,,2416,,,,,
266980,10171,,,,,,,,,
3851,10172,,,,,184,,,,
382909,10173,,,1329,,,,,,
7365,10174,,,1494,,,,,,
222853,10175,,,,,,,,,
27490,10176,2629,,,2401,,,,,
9346,10177,2632,,,,,431,,,
170951,10178,,,,,,,,,
434246,10179,,,,,,,,,
1035,1018,,,74,,,,,,
317430,10180,,,,,,,,,
357872,10181,,,,,,,,,
5351,10182,,,1316,,,,,,
439209,10183,,,,,,,,,
109,10184,2649,,,2433,,,,,
420891,10185,,,,,,,,,
5157,10186,,,,,,444,,,
131232,10187,2638,,,,,,,,
204733,10188,,,,,,,,,
370391,10189,,,,,,,,,
91872,1019,,243,,,,,,,
144228,10190,2662,1342,,,,,,,
262135,10191,,,,,,,,,
391625,10192,,,,,,,,,
83196,10194,,,,,,,,,
244196,10195,,,,,,,,,
256779,10196,2643,,,,,,,,
193327,10197,,,,,,,,,
354201,10198,,,,,,493,,,
287258,10199,,,,,,,,,
93,102,79,,,,,,,,
230244,1020,610,,,,,,,,
348325,10200,,,,,,,,,
425433,10201,,,,,,,,,
157521,10202,,,1362,,,,,,
145722,10203,,,,2442,,,575,,
13254,10204,,,1293,,,,,,
18824,10205,,,,,151,,,,
445019,10206,,,,,,,,,
222951,10207,,,1574,,,,,,
147505,10208,2717,1379,,,,,,,
385975,10209,,,,,,,,,
156566,1021,636,,,,,,,,
166109,10210,,,,2452,,,,,
161138,10211,,,,,,,,,
140172,10212,,,,2431,,,,,
316620,10213,,,1400,,,,,,
166280,10214,,,,,,,,,
196105,10215,,,,,,,,,
260239,10216,,,,,,,,,
404422,10217,,,,,,,,,
378172,10218,,,,,,,,,
310198,10219,,,,,,,,,
65244,1022,,,,350,,,,,
203624,10220,2636,,,,,,,,
282438,10221,,,,,,,,,
420737,10222,,,,,,,,,
192701,10224,,,,,,,,,
402109,10225,,,,,,,,,
331946,10226,,,,,,,,,
343833,10227,,,,,,,,132,
313471,10228,,,,,,,,,
26884,10229,,,,2453,,,,,
245643,1023,,,,267,,,,,
212450,10230,,,,,,,,,
179385,10231,,,,,,,,,
394306,10232,,,,,,,,,
38870,10233,,,1250,,,,,,
254532,10234,,,,2398,,,,,
382676,10235,,,,,,,,,
247191,10236,,,,,,,,,
375616,10237,,,,,,,,,
410722,10238,,,,,,,,,
164205,10239,,,,,,,,,
137988,1024,,223,,,,,,,
144223,10240,,,,2410,,,,,
100104,10241,,,,,,,,,
141735,10242,,,,,,,,,
10559,10243,,,,,,,578,,
334599,10244,,,,,,,,,
140638,10245,,1403,,,,,,,
264858,10246,,,,,,,,,
127839,10247,,,,,,,,,
59223,10248,,,,,,,,200,
400297,10249,,,,,,,,,
228867,1025,,190,,245,,,,,
377738,10250,,,,,,,,,
59008,10251,,,1135,,,,,,
2256,10252,,,,2487,,,,214,
255970,10253,,,,,,,,,
433891,10254,,,,,,,,,
305,10255,2669,,,2426,,,,,
322560,10256,,,,,,,,,
63743,10257,,,,2435,,,,,
9202,10258,2710,,,,,,,,
205420,10259,,,,,,,,,
395375,1026,621,,,234,,,,,
128218,10260,,,,,,,,,
378013,10261,,,,,,,,,
247578,10262,,,,,,,,,
161537,10263,,,,,,474,,,
7975,10264,,,1449,,,,,,
294219,10265,,,,,,,,,
435357,10266,,,,,,,,,
209222,10267,,,,,,,,,
11093,10268,,,1222,,,,,,
358790,10269,,,,,,,,,
191051,1027,604,,,,,,,,
226312,10270,,,,,,,,,
146963,10272,,,,2441,,,,,
180204,10273,2621,,,,,,,,
25409,10274,2633,,,,,,,,
104575,10275,2667,,,,,,,,
169062,10276,,,,,,,,,
29278,10277,2619,,,,,,,,
281206,10278,,,,,,,634,,
328289,10279,,,,,,,,,
36235,1028,,,,,,37,,,
366316,10280,,,,,,,,,
449155,10281,,,,,,,,,
395846,10282,,,,,,,,,
223514,10283,,,,,,,,,
256704,10284,,,,,,,,,
151456,10285,,,,,,,,,
294813,10286,,1315,,,,,,,
196676,10287,,,1302,,,,,,
8285,10288,,,1459,,,,,,
424451,10289,,,,,,,,,
239307,1029,,172,,226,,,,,
5827,10290,,,1325,,,,,,
75441,10291,2628,,,,,,,,
96345,10292,,,,,,,596,,
358561,10293,,,,,,,,,
386508,10294,,,,,,,,,
159375,10295,,,,2463,,,,,
378367,10296,,,,,,,,,
316401,10297,,,1139,,,,,,
240584,10298,,,,,,,,,
453740,10299,,,,,,,,,
159675,103,71,,,,,,,,
234671,1030,566,,,,,,,,
94733,10300,,,,2552,,,,298,
176215,10301,2695,,,,,501,,,
453051,10302,,,,,,,,,
257836,10303,,,,,,,,,
175510,10304,,,,,,,,,
256956,10305,,,,,,,,,
38904,10306,2639,,,,,413,,,
325678,10307,,,,,,,,,
379055,10308,,,,,,,,,
239808,10309,,,,,,,,,
252153,1031,629,,,275,,,,,
319290,10310,,,,,,,,,
257700,10311,,,,,,,,,
345408,10312,2684,,,,,,,,
736,10313,2645,,,,,,,,
275777,10314,,,,,,,,,
449297,10315,,,,,,,,,
162022,10316,,,,,,,,,
419437,10317,,,,,,,,,
1518,10318,2680,,,,,,,,
38858,10319,2679,,,,,,,,
110277,1032,650,,,,,,,,
98122,10320,,,,,,,,174,
1709,10321,,,1637,,,,,,
165522,10322,,,,,,,,,
3050,10323,,,1206,,,,,,
167650,10324,,,1327,,,,,,
225977,10325,,,,,,,,,
147883,10326,,,,,,,,,
356312,10327,,,,,,,,,
234105,10328,,,,2460,,,,,
155258,10329,,,,,,,523,,
420805,1033,551,,,,,,,,
7753,10330,,,1483,,,,,,
134637,10331,,,,,,,,,
256778,10332,2652,,,,,,,,
290380,10333,,,1406,,,,,,
30771,10334,2626,,,,,,,,
440775,10335,,,,,,,,,
158882,10336,,,,,,534,,,
6926,10337,,,1417,,,,,,
228944,10338,,,,,,440,,,
99655,10339,2660,1339,,,,,,,
268201,1034,,,,262,,,,,
194194,10340,,,,2432,,,,,
293671,10341,,,,,,,,,
229782,10342,,,,,,,,,
248641,10343,,,,,,,,,
238277,10344,,,,,,,,,
294237,10345,,,,,,,,,
175541,10346,,,,2456,,,,,
284294,10347,,,,,,,,,
173337,10348,,,,2445,,,,,
367344,10349,,,,,,,,,
228328,1035,552,,,,,,,,
5485,10350,,,1439,,,,,,
3466,10351,,,1834,,,,,,
417100,10352,,,1192,,,,,,
5242,10353,,,,,,351,,,
189030,10354,,,,,,,,,
312958,10355,,,,,,,,,
3706,10356,,,,2459,,523,,,
47218,10358,,,,2450,,,,,
1910,10359,2726,,,,,651,,,
528,1036,,,,,,26,,,
280655,10360,,,,,,,,,
289765,10361,,,,,,,,,
205078,10362,2650,,,,,,,,
258140,10364,,,,,,,,,
207845,10365,,,,,,,,,
190017,10366,,,,,188,,,,
35599,10367,,,,,,442,,,
264638,10368,,,,,,,,,
245876,10369,,,,,,,,,
163602,1037,,275,,,,,,,
1997,10370,,,1928,,,,,,
37615,10371,,,,2449,,,,,
282774,10372,,,1260,,,,,,
136890,10373,,,1254,,,,,,
367819,10374,,,1201,,,,,,
25242,10375,,,,,,,,,
35801,10376,2671,,,,,,,,
154902,10377,,,,2447,,,,,
427354,10378,,,,,,,,,
428182,10379,,,,,,,,,
296108,1038,627,,,,,,,,
67285,10380,2641,,,,,,,,
2452,10381,,,,,,,815,,
290028,10382,,,,,,,,,
292506,10383,,,,,,,,,
203087,10384,,,1319,,,,,,
320559,10385,,,,,,,,,
132416,10386,2661,,,,,,,,
286114,10387,,,1297,,,,,,
11438,10388,,,1237,,,,,,
317643,10389,,,,,,,,,
295293,1039,,183,,,,,,,
67309,10391,,,,2436,,,,,
17534,10392,,,,2464,,693,,,
419496,10393,,,,,,,,,
2994,10394,,,1415,,,,,,
209886,10395,,,,,,,,,
249868,10396,,,1363,,,,,,
10672,10397,,,,2454,,,,,
368309,10398,,,,,,,,,
318702,10399,,,,,,335,,,
256916,104,58,,,,,,,,
281474,1040,,169,,,,,,,
108430,10400,,,1149,,,,,,
10707,10401,,1359,,,,,,,
7831,10402,,,1370,,,,,,
232216,10403,,,,,,,,,
37738,10404,2682,,,,,,,,
415025,10405,,,,,,,,,
22847,10406,,,,,,422,,,
4934,10407,,,,2469,,,,250,
411399,10408,,,,,,,,,
12891,1041,,,72,,,,,,
184207,10410,,,,,,,,,
18085,10411,,,,,,,530,,
402744,10412,,,,,,,,,
385316,10413,,1291,,,,,,,
230968,10414,,,,,,,,,
346463,10415,,,,,,,,,
39169,10416,,,1683,,,,,,
406257,10417,,,,,,,,,
202477,10418,,,,,,,,,
197409,10419,,,,,,,,146,
91514,1042,,,,316,,,,22,
28705,10420,,1352,,,,,,,
445459,10422,,,,,,,,,
93819,10423,,,,,144,,,,
5228,10424,,,1543,,,,,,
63385,10425,,,,,,,,,
37794,10426,,1357,2220,,,,,,
256742,10427,2677,,,,,,,,
32146,10428,,,,,,,720,,
137500,10429,,,1932,,,,,,
586,1043,,,26,,,,,,
422742,10430,,,,,,,,,
126426,10431,2698,1346,1756,,,,,,
146144,10432,,,2926,,181,,,,
25462,10433,,,,,,,,,
83092,10434,,,2239,,,,,,
59576,10435,,,,,147,,,,
295480,10436,,,,,,,,,
342542,10437,,,,,,,,,
161995,10438,2663,,,,,,,,
174556,10439,,,1281,,,,,,
324090,1044,564,179,,,,,,,
285535,10440,,,,,,,,,
147884,10441,,,,,,,,,
21703,10442,,,,,,359,,,
144382,10443,,,,,,,,,
453093,10444,,,,,,,,,
191128,10445,,,,2518,,,,,
14054,10446,,,,,,,,151,
127438,10447,,,,2451,,,,,
154526,10448,,,,,,,,,
103886,1045,,,,,44,,,,
21469,10450,2651,,,2440,,,,,
334187,10451,,,,,,,,,
238360,10452,,,,,,,,,
426713,10453,,,,,,,,,
378395,10455,,,,,,,,,
173452,10456,,,,,,,,,
297666,10457,,,,,,,,143,
5939,10458,,,1546,,,,,,
1901,10459,,,1872,,,,,,
334011,1046,,,,,,33,,,
63928,10460,,,1333,,,,,,
56241,10461,,,1342,,,,,,
