row_id,type,name,min_players,max_players,playingtime,minimum_age,release_year,average_rating,num_of_ratings,weight,num_of_weights,bayes_average,std_deviation,language_dependency,owned,trading,wanting,wishing,rank_boardgame
224517,boardgame,Brass: Birmingham,2,4,120,14,2018,8.56433,58318,3.8607,2850,8.39353,1.4279,1: No necessary in-game text,83744,367,1754,21874,1
187645,boardgame,Star Wars: Rebellion,2,4,240,14,2016,8.42185,36332,3.7535,1278,8.16701,1.36219,4: Extensive use of text - massive conversion needed to be playable,57374,393,1460,14975,10
201808,boardgame,Clank!: A Deck-Building Adventure,2,4,60,12,2016,7.76073,47406,2.2321,1090,7.59547,1.20797,3: Moderate in-game text - needs crib sheet or paste ups,62182,615,1127,12544,100
56692,boardgame,Parade,2,6,45,8,2007,6.99327,8616,1.4571,315,6.65288,1.2189,1: No necessary in-game text,12831,170,294,1805,1000
5235,boardgame,Samurai Blades: The Game of Man-to-Man Combat in Feudal Japan,2,6,240,14,1984,6.8014,179,2.3333,15,5.58889,1.35319,1: No necessary in-game text,545,20,21,47,10000
55679,boardgame,Panzer General: Allied Assault,1,2,60,10,2010,6.40948,363,2.449,49,5.58882,1.7101,3: Moderate in-game text - needs crib sheet or paste ups,921,85,10,99,10001
424753,boardgame,Station to Station,2,4,90,10,2024,6.87701,165,2.4,5,5.58882,1.31572,1: No necessary in-game text,388,11,42,279,10002
421299,boardgame,Golden Cup,1,6,60,10,2024,6.49745,240,1.7143,7,5.5888,1.53698,2: Some necessary text - easily memorized or small crib sheet,358,20,42,230,10003
271044,boardgame,UNDO: Cherry Blossom Festival,2,6,90,10,2019,5.91083,673,1.2143,14,5.58879,1.67645,4: Extensive use of text - massive conversion needed to be playable,1786,78,10,107,10004
14186,boardgame,Bao,2,2,40,0,0,6.69864,206,3.4444,18,5.58878,1.75246,1: No necessary in-game text,380,3,8,58,10005
250355,boardgame,All Manor of Evil,1,5,45,14,2019,6.57709,234,2.2857,7,5.58878,1.45379,3: Moderate in-game text - needs crib sheet or paste ups,729,40,18,120,10006
242753,boardgame,"Warhammer 40,000 Dice Masters: Battle for Ultramar Campaign Box",2,2,60,14,2018,7.10905,148,2.5,2,5.58877,1.66697,1: No necessary in-game text,584,19,10,92,10007
319223,boardgame,Sleeping Gods: Primeval Peril,1,2,240,13,2020,7.40455,123,3.3333,3,5.58876,1.4523,4: Extensive use of text - massive conversion needed to be playable,634,7,31,166,10008
154939,boardgame,MERCS: Recon – Counter Threat,1,5,90,12,2015,6.63154,269,3.2941,17,5.58875,2.02907,3: Moderate in-game text - needs crib sheet or paste ups,995,63,16,96,10009
297129,boardgame,Jekyll vs. Hyde,2,2,30,8,2021,7.16986,5515,1.8686,137,6.6528,1.25141,1: No necessary in-game text,9830,163,160,1444,1001
254846,boardgame,Peanut Club,3,6,20,8,2018,6.66013,224,1.7143,7,5.58872,1.32741,1: No necessary in-game text,371,3,6,54,10010
127188,boardgame,Tweeeet,2,6,30,7,2012,6.17324,355,1.7241,29,5.58869,1.18992,1: No necessary in-game text,423,20,19,58,10011
24511,boardgame,Simply Catan,2,4,30,10,2006,6.81865,185,2.381,21,5.58869,1.44636,2: Some necessary text - easily memorized or small crib sheet,338,18,16,63,10012
101796,boardgame,SUTAKKU,1,12,15,14,2011,6.23063,352,1.04,25,5.58868,1.50691,1: No necessary in-game text,857,50,13,93,10013
254132,boardgame,Pitchstorm,3,12,60,14,2018,6.88983,197,1.25,4,5.58865,1.62776,1: No necessary in-game text,716,10,6,78,10015
723,boardgame,The Uncanny X-Men Alert Adventure Game,2,4,60,9,1992,6.16375,486,1.5652,46,5.58864,1.61629,3: Moderate in-game text - needs crib sheet or paste ups,1092,51,41,73,10016
40561,boardgame,Curling Table Game,2,8,5,12,2008,6.58496,209,1.0909,11,5.58864,1.31349,1: No necessary in-game text,326,6,38,78,10017
37362,boardgame,Robot Master,1,4,15,8,2008,6.35347,273,1.3333,30,5.58862,1.16801,1: No necessary in-game text,371,13,11,70,10018
137744,boardgame,Tessen,2,2,15,12,2013,6.4988,251,1.1875,16,5.58861,1.3903,1: No necessary in-game text,601,42,7,82,10019
30645,boardgame,Tammany Hall,3,5,90,12,2007,7.25741,4631,2.7778,243,6.65133,1.38573,2: Some necessary text - easily memorized or small crib sheet,6336,271,334,1643,1002
261490,boardgame,Ringo,2,2,15,7,2018,7.13677,133,1.0,3,5.5886,1.17934,1: No necessary in-game text,306,4,14,64,10020
198408,boardgame,Gekido: Bot Battles,2,4,30,14,2017,6.31419,360,1.8571,7,5.58859,1.38239,3: Moderate in-game text - needs crib sheet or paste ups,818,62,10,111,10021
536,boardgame,Visionary,4,8,60,8,1997,6.41563,256,1.2692,26,5.58852,1.44148,1: No necessary in-game text,518,30,22,59,10022
60316,boardgame,Moon Leap,2,4,30,7,1998,6.05944,460,1.1,30,5.5885,1.57675,1: No necessary in-game text,606,13,17,84,10023
6627,boardgame,Scream Machine,3,6,45,7,2003,5.9792,536,1.5352,71,5.58849,1.2256,1: No necessary in-game text,569,39,15,47,10024
