row_id,designers
224517,Gavan Brown
224517,Matt Tolman
224517,Martin Wallace
342942,Mathias Wigge
161936,Rob Daviau
161936,Matt Leacock
174430,Isaac Childres
397598,Paul Dennen
316554,Paul Dennen
233078,Dane Beltrami
233078,Corey Konieczka
233078,Christian T. Petersen
115746,Roberto Di Meglio
115746,Marco Maggi
115746,Francesco Nepitello
167791,Jacob Fryxelius
187645,Corey Konieczka
162886,R. Eric Reuss
291457,Isaac Childres
220308,Jens Drögemüller
220308,Helge Ostertag
12333,Ananda Gupta
12333,Jason Matthews
84876,Stefan Feld
418059,Tomáš Holek
338960,Gary Dworetsky
338960,Anthony Giovannetti
338960,Casey Yano
182028,Vlaada Chvátil
421006,Antoine Bauza
421006,Bruno Cathala
193738,Alexander Pfister
295770,Isaac Childres
28720,Martin Wallace
246900,Touko Tahkokallio
173346,Antoine Bauza
173346,Bruno Cathala
167355,Adam Kwapiński
169786,Jamey Stegmaier
177736,Uwe Rosenberg
266507,Andy Clautice
266507,Paul Dennen
124361,Mac Gerdts
312484,Elwen
312484,Mín
341169,Alexander Pfister
205637,Nate French
205637,MJ Newman
373106,Luc Rémond
237182,Cole Wehrle
120677,Jens Drögemüller
120677,Helge Ostertag
164928,Reiner Stockhausen
192135,Josh J. Carlson
192135,Adam Carlson
266192,Elizabeth Hargrave
96848,Vlaada Chvátil
251247,Tommaso Battista
251247,Simone Luciani
321608,Vangelis Bagiartakis
321608,Varnavas Timotheou
199792,James A. Wilson
324856,Thomas Sing
183394,Jamey Stegmaier
183394,Alan Stone
284378,Vital Lacerda
521,(Uncredited)
366013,Asger Aleksandrov Granerud
366013,Daniel Skjold Pedersen
285774,Michael Boggs
285774,Nate French
285774,Caleb Grace
175914,Jeroen Doumen
175914,Joris Wiersinga
390092,Rob Daviau
390092,Matt Leacock
390092,Alan R. Moon
247763,Vladimír Suchý
365717,Paul Dennen
256960,Cole Wehrle
253344,Rob Daviau
253344,Eric M. Lang
414317,Johan Benvenuto
383179,Helge Ostertag
3076,Andreas Seyfarth
184267,Vital Lacerda
295947,Randy Flynn
314040,Rob Daviau
314040,Matt Leacock
185343,Dávid Turczi
185343,Richard Ámann
185343,Viktor Péter
102794,Uwe Rosenberg
251661,Jamie Jolly
31260,Uwe Rosenberg
170216,Eric M. Lang
231733,Dan Hallagan
240980,Steven Medway
182874,Virginio Gigli
182874,Simone Luciani
161533,Vital Lacerda
221107,Rob Daviau
221107,Matt Leacock
255984,Ryan Laukat
371942,Isra C.
371942,Shei S.
126163,Simone Luciani
126163,Daniele Tascini
2651,Friedemann Friese
216132,Juma Al-JouJou
205059,Nikki Valens
380607,Alexander Pfister
244521,Wolfgang Warsch
266810,S J Macdonald
266810,Shem Phillips
367966,Carl de Visser
367966,Jarratt Gray
35677,Uwe Rosenberg
125153,Vital Lacerda
124742,Richard Garfield
124742,Lukas Litzsinger
200680,Uwe Rosenberg
337627,Nigel Buckle
337627,Dávid Turczi
164153,Justin Kemppainen
164153,Corey Konieczka
164153,Jonathan Ying
276025,Alexander Pfister
366161,Elizabeth Hargrave
322289,Simone Luciani
322289,Nestore Mangone
209010,Chris Cantrell
209010,Rick Ernst
209010,Stone Librande
209010,Prashant Saraswat
209010,Nathan Tiras
332772,Helge Meissner
332772,Kristian Amundsen Østby
332772,Eilif Svensson
332772,Anna Wermlund
436217,Matt Leacock
284083,Thomas Sing
28143,Thomas Lehmann
55690,Adam Poots
157354,Bruno Cathala
277659,Evan Derrick
277659,A. J. Porfirio
230802,Michael Kiesling
413246,Hisashi Hayashi
201808,Paul Dennen
359871,Cole Wehrle
93,Wolfgang Kramer
93,Richard Ulrich
159675,Uwe Rosenberg
256916,Mac Gerdts
72125,Touko Tahkokallio
291453,Kei Kajino (梶野 桂)
110327,Peter Lee
