row_id,mechanisms
224517,Chaining
224517,End Game Bonuses
224517,Hand Management
224517,Income
224517,Loans
224517,Market
224517,Multi-Use Cards
224517,Network and Route Building
224517,Ownership
224517,Tags
224517,Tech Trees / Tech Tracks
224517,Tile Placement
224517,Turn Order: Stat-Based
224517,Variable Set-up
342942,Contracts
342942,End Game Bonuses
342942,Events
342942,Grid Coverage
342942,Hand Management
342942,Hexagon Grid
342942,Income
342942,Increase Value of Unchosen Resources
342942,Open Drafting
342942,Race
342942,Set Collection
342942,Solo / Solitaire Game
342942,Tags
342942,Tile Placement
342942,Track Movement
342942,Variable Player Powers
342942,Variable Set-up
161936,Action Points
161936,Cooperative Game
161936,Hand Management
161936,Legacy Game
161936,Multi-Use Cards
161936,Point to Point Movement
161936,Scenario / Mission / Campaign Game
161936,Set Collection
161936,Tags
161936,Trading
161936,Variable Player Powers
174430,Action Queue
174430,Action Retrieval
174430,Campaign / Battle Card Driven
174430,Card Play Conflict Resolution
174430,Communication Limits
174430,Cooperative Game
174430,Critical Hits and Failures
174430,Deck Construction
174430,Grid Movement
174430,Hand Management
174430,Hexagon Grid
174430,Legacy Game
174430,Line of Sight
174430,Modular Board
174430,Multi-Use Cards
174430,Narrative Choice / Paragraph
174430,Once-Per-Game Abilities
174430,Role Playing
174430,Scenario / Mission / Campaign Game
174430,Simultaneous Action Selection
174430,Solo / Solitaire Game
174430,Storytelling
174430,Tags
174430,Variable Player Powers
397598,Automatic Resource Growth
397598,Card Play Conflict Resolution
397598,Contracts
397598,"Deck, Bag, and Pool Building"
397598,Delayed Purchase
397598,Force Commitment
397598,Increase Value of Unchosen Resources
397598,Multi-Use Cards
397598,Open Drafting
397598,Solo / Solitaire Game
397598,Team-Based Game
397598,Turn Order: Progressive
397598,Variable Player Powers
397598,Worker Placement
316554,Card Play Conflict Resolution
316554,"Deck, Bag, and Pool Building"
316554,Delayed Purchase
316554,Force Commitment
316554,Increase Value of Unchosen Resources
316554,Multi-Use Cards
316554,Open Drafting
316554,Ownership
316554,Race
316554,Solo / Solitaire Game
316554,Tags
316554,Take That
316554,Turn Order: Progressive
316554,Variable Player Powers
316554,Worker Placement
233078,Action Drafting
