row_id,publishers
224517,Roxley
224517,Arclight Games
224517,Board Game Rookie
224517,BoardM Factory
224517,CMON Global Limited
224517,Conclave Editora
224517,CoolPlay
224517,CrowD Games
224517,Dexker Games
224517,Funforge
224517,GémKlub Kft.
224517,Ghenos Games
224517,Giant Roc
224517,Lanlalen
224517,Lord of Boards
224517,Maldito Games
224517,PHALANX
224517,Rebel Sp. z o.o.
224517,TLAMA games
224517,White Goblin Games
224517,盒拍工作室 Hepa Studio
342942,Feuerland Spiele
342942,Capstone Games
342942,CMON Global Limited
342942,Cranio Creations
342942,Game Harbor
342942,GémKlub Kft.
342942,Grok Games
342942,IGAMES
342942,Korea Boardgames
342942,Lautapelit.fi
342942,Ludofy Creative
342942,Maldito Games
342942,MINDOK
342942,MIPL
342942,Portal Games
342942,Regatul Jocurilor
342942,Super Meeple
342942,テンデイズゲームズ (TendaysGames)
342942,Tower Tactic Games
342942,White Goblin Games
161936,Z-Man Games
161936,Asterion Press
161936,Devir
161936,Filosofia Éditions
161936,GémKlub Kft.
161936,Hobby Japan
161936,Jolly Thinkers
161936,Korea Boardgames
161936,Lacerta
161936,Lifestyle Boardgames Ltd
161936,MINDOK
161936,Ігромаг
174430,Cephalofair Games
174430,Albi
174430,Albi Polska
174430,Arclight Games
174430,Feuerland Spiele
174430,Galápagos Jogos
174430,Games Warehouse
174430,GémKlub Kft.
174430,Hobby World
174430,Korea Boardgames
174430,"MYBG Co., Ltd."
397598,Dire Wolf
397598,Arclight Games
397598,Broadway Toys LTD
397598,Galápagos Jogos
397598,Geekach LLC
397598,Korea Boardgames
397598,Lavka Games
397598,Lucky Duck Games
397598,Reflexshop
397598,Regatul Jocurilor
397598,Rexhry
397598,Tabletop KZ
316554,Dire Wolf
316554,Arclight Games
316554,Broadway Toys LTD
316554,Galápagos Jogos
316554,Geekach LLC
316554,Lavka Games
316554,Lucky Duck Games
316554,MIPL
316554,Reflexshop
316554,Rexhry
316554,sternenschimmermeer
316554,Tabletop KZ
316554,YingDi (旅法师营地)
233078,Fantasy Flight Games
233078,ADC Blackfire Entertainment
233078,Arclight Games
233078,Asterion Press
233078,Delta Vision Publishing
233078,Edge Entertainment
233078,Galakta
233078,Galápagos Jogos
233078,Geekach LLC
233078,Hobby World
233078,Playfun Games
233078,sternenschimmermeer
115746,Ares Games
115746,Angry Lion Games
115746,Devir
115746,GaGa Games
115746,Galakta
115746,Geekach LLC
115746,Heidelberger Spieleverlag
115746,Nuts! Publishing
115746,Planplay
115746,Red Glove
115746,Rexhry
115746,Schwerkraft-Verlag
115746,Sophisticated Games
115746,Zhiyanjia
167791,FryxGames
167791,Arclight Games
167791,Brädspel.se
167791,Fantasmagoria
167791,Ghenos Games
167791,Golden Egg Games
167791,Green Elephant Games
167791,Intrafin Games
167791,Kaissa Chess & Games
167791,Kilogames
167791,Korea Boardgames
167791,Lautapelit.fi
167791,Lavka Games
167791,Lex Games
167791,Maldito Games
167791,MeepleBR
167791,MINDOK
167791,MIPL
167791,"MYBG Co., Ltd."
167791,NeoTroy Games
167791,Rebel Sp. z o.o.
167791,Reflexshop
167791,Schwerkraft-Verlag
167791,Siam Board Games
167791,Stronghold Games
167791,SuperHeated Neurons
167791,Surfin' Meeple China
187645,Fantasy Flight Games
187645,ADC Blackfire Entertainment
187645,Asterion Press
187645,Delta Vision Publishing
187645,Edge Entertainment
187645,Galakta
187645,Galápagos Jogos
187645,Geekach LLC
187645,Heidelberger Spieleverlag
187645,Hobby World
187645,Korea Boardgames
187645,Rooster Games
162886,"Greater Than Games, LLC"
162886,999 Games
162886,Ace Studios
162886,Arrakis Games
162886,BoardM Factory
162886,Engames
162886,Fabled Nexus
162886,Fox in the Box
162886,Games7Days
162886,GémKlub Kft.
162886,Ghenos Games
162886,Hobby World
162886,Intrafin Games
162886,Lacerta
162886,One Moment Games
162886,Pegasus Spiele
162886,Portal Games
162886,Rexhry
162886,Siam Board Games
291457,Cephalofair Games
291457,Albi
291457,Albi Polska
291457,Arclight Games
291457,CoolPlay
291457,Feuerland Spiele
291457,Galápagos Jogos
291457,Geekach LLC
291457,GémKlub Kft.
291457,Hobby World
291457,Korea Boardgames
291457,Lord of Boards
291457,Meanbook Games
291457,Siam Board Games
220308,Feuerland Spiele
220308,Automa Factory
220308,Capstone Games
220308,Cranio Creations
220308,DiceTree Games
220308,Edge Entertainment
220308,Game Harbor
220308,Games Factory
220308,Hobby World
220308,IGAMES
220308,Maldito Games
220308,Mandala Jogos
220308,Portal Games
220308,Reflexshop
220308,Super Meeple
220308,テンデイズゲームズ (TendaysGames)
220308,TLAMA games
220308,White Goblin Games
220308,Z-Man Games
12333,GMT Games
12333,Asterion Press
12333,Bard Centrum Gier
12333,Chrononauts Games
12333,Devir
12333,DiceTree Games
12333,GaGa Games
12333,MINDOK
12333,PHALANX
12333,Pixie Games
12333,Udo Grebe Gamedesign
12333,Wargames Club Publishing
84876,alea
84876,Ravensburger AG
84876,Broadway Toys LTD
84876,Giochi Uniti
84876,Grow Jogos e Brinquedos
84876,Hobby World
84876,Maldito Games
84876,Rebel Sp. z o.o.
418059,Czech Games Edition (CGE)
418059,Broadway Toys LTD
418059,Cranio Creations
418059,Devir
418059,DiceTree Games
418059,DSV Games
418059,Feelindigo
418059,GémKlub Kft.
418059,HeidelBÄR Games
418059,Hobby Japan
418059,IELLO
418059,MINDOK
418059,MIPL
418059,Rebel Sp. z o.o.
338960,Contention Games
338960,Ediciones MasQueOca
338960,Grok Games
338960,Korea Boardgames
338960,Lavka Games
338960,Matagot
338960,MINDOK
338960,Nice Game Publishing
338960,Portal Games
338960,Yayoi The Dreamer
338960,YOKA Games
338960,株式会社ケンビル (KenBill)
182028,Czech Games Edition (CGE)
182028,Cranio Creations
182028,Devir
182028,DiceTree Games
182028,Eagle-Gryphon Games
182028,Feelindigo
182028,GaGa Games
182028,GémKlub Kft.
182028,HaKubia
182028,HeidelBÄR Games
182028,Heidelberger Spieleverlag
182028,IELLO
182028,MINDOK
182028,"New Games Order, LLC"
182028,One Moment Games
182028,Rebel Sp. z o.o.
421006,Repos Production
421006,ADC Blackfire Entertainment
421006,CoolPlay
421006,Galápagos Jogos
421006,GémKlub Kft.
421006,Hobby Japan
421006,Kaissa Chess & Games
421006,Korea Boardgames
421006,Metagame Studio
421006,Ponva d.o.o.
421006,Rebel Sp. z o.o.
421006,Ігромаг
193738,eggertspiele
193738,999 Games
193738,Arclight Games
193738,Broadway Toys LTD
193738,Conclave Editora
193738,Delta Vision Publishing
193738,Ediciones MasQueOca
193738,Gigamic
193738,Korea Boardgames
193738,Lacerta
193738,Ludicus Games
193738,MINDOK
193738,Pegasus Spiele
193738,Plan B Games
193738,Stronghold Games
193738,uplay.it edizioni
193738,YOKA Games
193738,Zvezda
295770,Cephalofair Games
295770,Albi
295770,Albi Polska
295770,CMON Global Limited
295770,Delta Vision Publishing
295770,Feuerland Spiele
295770,Galápagos Jogos
295770,GoKids 玩樂小子
295770,Korea Boardgames
28720,Roxley
28720,Warfrog Games
28720,Arclight Games
28720,BoardM Factory
28720,Conclave Editora
28720,CrowD Games
28720,Dexker Games
28720,Eagle-Gryphon Games
28720,"FRED Distribution, Inc."
28720,Funforge
28720,Ghenos Games
28720,Giant Roc
28720,Maldito Games
28720,Pegasus Spiele
28720,PHALANX
28720,Rebel Sp. z o.o.
28720,Wargames Club Publishing
28720,White Goblin Games
246900,Lautapelit.fi
246900,Arclight Games
246900,CrowD Games
246900,Maldito Games
246900,Matagot
246900,MeepleBR
246900,Pegasus Spiele
246900,sternenschimmermeer
246900,Surfin' Meeple China
246900,TLAMA games
246900,uplay.it edizioni
173346,Repos Production
173346,ADC Blackfire Entertainment
173346,asmodee
173346,Asterion Press
173346,Boardgame Space
173346,CoolPlay
173346,Galápagos Jogos
173346,GémKlub Kft.
173346,Hobby Japan
173346,KADABRA
173346,Kaissa Chess & Games
173346,Korea Boardgames
173346,Lautapelit.fi
173346,Lifestyle Boardgames Ltd
173346,Ludicus Games
173346,Ponva d.o.o.
173346,Pridemage Games
173346,Rebel Sp. z o.o.
173346,Siam Board Games
173346,Sombreros Production
173346,Ігромаг
167355,Awaken Realms
167355,Rebel Sp. z o.o.
167355,Arclight Games
167355,asmodee
167355,Cranio Creations
167355,Delta Vision Publishing
167355,Funforge
167355,Galápagos Jogos
167355,Geekach LLC
167355,Hobby World
167355,Korea Boardgames
167355,MINDOK
167355,Rebel Studio
169786,Stonemaier Games
169786,Albi
169786,Angry Lion Games
169786,Arclight Games
169786,CrowD Games
169786,Delta Vision Publishing
169786,Feuerland Spiele
169786,Fire on Board Jogos
169786,Galápagos Jogos
169786,Geekach LLC
169786,Ghenos Games
169786,Korea Boardgames
169786,Ludofy Creative
169786,Maldito Games
169786,Matagot
169786,Morning
169786,PHALANX
169786,Planeta Igor
169786,Playfun Games
169786,Surfin' Meeple China
177736,Feuerland Spiele
177736,Cranio Creations
177736,Devir
177736,Filosofia Éditions
177736,Game Harbor
177736,Hobby World
177736,Korea Boardgames
177736,Lacerta
177736,Maldito Games
177736,Mandala Jogos
177736,Rebel Sp. z o.o.
177736,Super Meeple
177736,テンデイズゲームズ (TendaysGames)
177736,TLAMA games
177736,White Goblin Games
177736,Z-Man Games
