bgg_id,rank,type,name,min_players,max_players,playingtime,minimum_age,release_year,average_rating,num_of_ratings,weight,num_of_weights,bayes_average,std_deviation,language_dependency,owned,wishing
224517,1,boardgame,Brass: Birmingham,2,4,120,14,2018,8.56433,58318,3.8607,2850,8.39353,1.4279,1: No necessary in-game text,83744,21874
342942,2,boardgame,Ark Nova,1,4,150,14,2021,8.54058,60867,3.7963,3118,8.35456,1.40476,4: Extensive use of text - massive conversion needed to be playable,88580,17713
161936,3,boardgame,Pandemic Legacy: Season 1,2,4,60,13,2015,8.50255,57354,2.8278,1556,8.34628,1.60876,4: Extensive use of text - massive conversion needed to be playable,89321,15019
174430,4,boardgame,Gloomhaven,1,4,120,14,2017,8.53957,67111,3.9187,2755,8.29747,1.73643,4: Extensive use of text - massive conversion needed to be playable,104470,22286
397598,5,boardgame,Dune: Imperium – Uprising,1,6,120,13,2023,8.70003,18269,3.5243,576,8.23575,1.33245,3: Moderate in-game text - needs crib sheet or paste ups,28205,7794
316554,6,boardgame,Dune: Imperium,1,4,120,14,2020,8.41222,58264,3.0768,2056,8.22242,1.29048,3: Moderate in-game text - needs crib sheet or paste ups,77755,15563
233078,7,boardgame,Twilight Imperium: Fourth Edition,3,6,480,14,2017,8.56424,28349,4.3539,1393,8.21911,1.64725,4: Extensive use of text - massive conversion needed to be playable,33735,13049
115746,8,boardgame,War of the Ring: Second Edition,2,4,240,13,2011,8.55226,25078,4.2239,1380,8.19844,1.48079,4: Extensive use of text - massive conversion needed to be playable,41474,13010
167791,9,boardgame,Terraforming Mars,1,5,120,12,2016,8.33804,113026,3.2713,4648,8.18708,1.43051,4: Extensive use of text - massive conversion needed to be playable,159431,27010
187645,10,boardgame,Star Wars: Rebellion,2,4,240,14,2016,8.42185,36332,3.7535,1278,8.16701,1.36219,4: Extensive use of text - massive conversion needed to be playable,57374,14975
162886,11,boardgame,Spirit Island,1,4,120,13,2017,8.34,62962,4.0738,3415,8.14197,1.52227,4: Extensive use of text - massive conversion needed to be playable,97596,25394
291457,12,boardgame,Gloomhaven: Jaws of the Lion,1,4,120,14,2020,8.36057,41029,3.638,1174,8.09662,1.47223,4: Extensive use of text - massive conversion needed to be playable,88722,9333
220308,13,boardgame,Gaia Project,1,4,150,12,2017,8.35182,31241,4.403,1948,8.08799,1.41205,1: No necessary in-game text,38621,12904
12333,14,boardgame,Twilight Struggle,2,2,180,13,2005,8.22962,52012,3.6151,4092,8.04086,1.57574,4: Extensive use of text - massive conversion needed to be playable,73518,13266
84876,15,boardgame,The Castles of Burgundy,2,4,90,12,2011,8.16068,69505,2.9708,3154,8.03138,1.25508,1: No necessary in-game text,84112,14195
418059,16,boardgame,SETI: Search for Extraterrestrial Intelligence,1,4,160,14,2024,8.41609,19408,3.8295,1032,8.02796,1.27324,3: Moderate in-game text - needs crib sheet or paste ups,30608,11301
338960,17,boardgame,Slay the Spire: The Board Game,1,4,150,12,2024,8.64711,12699,2.9017,356,8.02623,1.32036,4: Extensive use of text - massive conversion needed to be playable,21029,9929
182028,18,boardgame,Through the Ages: A New Story of Civilization,2,4,120,14,2015,8.24742,34798,4.4422,1746,8.01337,1.53284,4: Extensive use of text - massive conversion needed to be playable,40205,10172
421006,19,boardgame,The Lord of the Rings: Duel for Middle-earth,2,2,30,10,2024,8.3569,19673,2.0714,462,7.98024,1.11537,1: No necessary in-game text,40959,7015
193738,20,boardgame,Great Western Trail,2,4,150,12,2016,8.14915,43763,3.6941,1690,7.97429,1.32334,1: No necessary in-game text,47079,10056
295770,21,boardgame,Frosthaven,1,4,180,14,2022,8.73724,10139,4.4137,481,7.97175,1.8929,4: Extensive use of text - massive conversion needed to be playable,24536,6582
28720,22,boardgame,Brass: Lancashire,2,4,120,14,2007,8.19834,27339,3.844,1737,7.96026,1.36123,1: No necessary in-game text,35911,6415
246900,23,boardgame,Eclipse: Second Dawn for the Galaxy,2,6,200,14,2020,8.38794,17363,3.6651,621,7.95866,1.39496,2: Some necessary text - easily memorized or small crib sheet,22003,9004
173346,24,boardgame,7 Wonders Duel,2,2,30,10,2015,8.0772,108741,2.2272,3420,7.95241,1.20211,1: No necessary in-game text,183970,12214
167355,25,boardgame,Nemesis,1,5,180,12,2018,8.24989,37336,3.4874,1346,7.95009,1.52564,3: Moderate in-game text - needs crib sheet or paste ups,50594,15824
169786,26,boardgame,Scythe,1,5,115,14,2016,8.10091,93240,3.4532,3597,7.94525,1.45783,3: Moderate in-game text - needs crib sheet or paste ups,128319,26468
177736,27,boardgame,A Feast for Odin,1,4,120,12,2016,8.16181,33426,3.87,1177,7.94117,1.37946,3: Moderate in-game text - needs crib sheet or paste ups,43585,16395
266507,28,boardgame,Clank! Legacy: Acquisitions Incorporated,2,4,120,13,2019,8.49648,11327,2.7349,166,7.93731,1.444,4: Extensive use of text - massive conversion needed to be playable,19284,6820
124361,29,boardgame,Concordia,2,5,100,13,2013,8.07693,45481,2.9881,1768,7.92572,1.21512,3: Moderate in-game text - needs crib sheet or paste ups,51689,12883
312484,30,boardgame,Lost Ruins of Arnak,1,4,120,12,2020,8.08242,56891,2.9313,1848,7.91618,1.26598,3: Moderate in-game text - needs crib sheet or paste ups,86243,16395
