bgg_id,boardgame,strategygames,thematic,wargames,familygames,cgs,abstracts,partygames,childrensgames,rpgitem,boardgameaccessory
224517,1,1,,,,,,,,,
342942,2,2,,,,,,,,,
161936,3,3,1,,,,,,,,
174430,4,5,2,,,,,,,,
397598,5,4,,,,,,,,,
316554,6,7,,,,,,,,,
233078,7,6,4,,,,,,,,
115746,8,,3,1,,,,,,,
167791,9,8,,,,,,,,,
187645,10,,5,,,,,,,,
162886,11,10,,,,,,,,,
291457,12,14,8,,,,,,,,
220308,13,9,,,,,,,,,
12333,14,17,,2,,,,,,,
84876,15,16,,,,,,,,,
418059,16,12,,,,,,,,,
338960,17,11,,,,,,,,,
182028,18,15,,,,,,,,,
421006,19,20,,,1,,,,,,
193738,20,21,,,,,,,,,
295770,21,13,6,,,,,,,,
28720,22,19,,,,,,,,,
246900,23,18,,,,,,,,,
173346,24,28,,,,,,,,,
167355,25,,12,,,,,,,,
169786,26,27,,,,,,,,,
177736,27,23,,,,,,,,,
266507,28,,7,,,,,,,,
124361,29,24,,,,,,,,,
312484,30,29,,,,,,,,,
341169,31,22,,,,,,,,,
205637,32,,13,,,2,,,,,
373106,33,,14,,3,,,,,,
237182,34,37,,13,,,,,,,
120677,35,34,,,,,,,,,
164928,36,33,,,,,,,,,
192135,37,31,11,,,,,,,,
266192,38,48,,,6,,,,,,
96848,39,38,18,,,,,,,,
251247,40,32,,,,,,,,,
321608,41,26,,,,,,,,,
199792,42,51,,,9,,,,,,
324856,43,,,,4,,,,,,
284378,44,25,,,,,,,,,
183394,45,46,,,,,,,,,
521,46,,,,7,,,,,,
366013,47,,,,8,,,,,,
285774,48,,,,,3,,,,,
175914,49,42,,,,,,,,,
390092,50,,,,2,,,,,,
247763,51,40,,,,,,,,,
365717,52,39,,,5,,,,,,
256960,53,41,,,,,,,,,
253344,54,,16,,,,,,,,
414317,55,,,,10,,2,,,,
383179,56,30,,,,,,,,,
3076,57,55,,,,,,,,,
184267,58,43,,,,,,,,,
314040,59,36,10,,,,,,,,
295947,60,,,,11,,1,,,,
185343,61,47,,,,,,,,,
102794,62,54,,,,,,,,,
251661,63,,9,,,,,,,,
31260,64,62,,,,,,,,,
170216,65,64,,,,,,,,,
231733,66,49,24,,,,,,,,
182874,67,53,,,,,,,,,
240980,68,52,,,,,,1,,,
161533,69,45,,,,,,,,,
221107,70,56,21,,,,,,,,
255984,71,,23,,,,,,,,
371942,72,61,,,,,,,,,
126163,73,66,,,,,,,,,
2651,74,73,,,,,,,,,
216132,75,59,,,,,,,,,
205059,76,,29,,,,,,,,
380607,77,35,,,,,,,,,
244521,78,,,,13,,,,,,
367966,79,50,,,,,,,,,
266810,80,63,,,,,,,,,
35677,81,70,,,,,,,,,
125153,82,57,,,,,,,,,
124742,83,,,,,6,,,,,
337627,84,44,,,,,,,,,
200680,85,72,,,,,,,,,
164153,86,,30,,,,,,,,
276025,87,68,,,,,,,,,
366161,88,67,,,,,,,,,
322289,89,60,,,,,,,,,
436217,90,,22,,,,,,,,
209010,91,74,27,,,,,,,,
332772,92,65,,,,,,,,,
284083,93,,,,14,,,,,,
28143,94,81,,,,,,,,,
55690,95,,19,,,,,,,,
157354,96,84,,,,,,,,,
277659,97,,25,,,,,,,,
230802,98,,,,17,,3,,,,
413246,99,,,,12,,,,,,
201808,100,95,,,18,,,,,,
359871,101,80,,,,,,,,,
93,102,79,,,,,,,,,
159675,103,71,,,,,,,,,
256916,104,58,,,,,,,,,
72125,105,87,,,,,,,,,
291453,106,,,,15,,,,,,
110327,107,101,,,,,,,,,
191189,108,91,,,,,,,,,
359609,109,,17,,,1,,,,,
229853,110,85,,,,,,,,,
364073,111,98,,,16,,,,,,
317985,112,76,,,,,,,,,
62219,113,89,,,,,,,,,
12,114,97,,,,,,,,,
279537,115,88,,,,,,,,,
225694,116,,,,,,,2,,,
68448,117,118,,,21,,,,,,
25613,118,86,,,,,,,,,
121921,119,,37,,,,,,,,
171623,120,96,,,,,,,,,
163068,121,77,,,,,,,,,
391137,122,69,,,,,,,,,
217372,123,,,,19,,,,,,
410201,124,106,,,,,,,,,
155821,125,103,,,,,,,,,
37111,126,,38,,,,,,,,
271055,127,75,,,,,,,,,
310873,128,83,,,,,,,,,
310100,129,,26,,,,,,,,
236457,130,112,,,,,,,,,
42,131,109,,,,,,,,,
40834,132,119,,,,,,,,,
227935,133,93,,,,,,,,,
122515,134,107,,,,,,,,,
170042,135,113,,,,,,,,,
264220,136,,33,,,,,,,,
146021,137,,41,,,,,,,,
18602,138,115,,,,,,,,,
4098,139,92,,,,,,,,,
203993,140,99,,,,,,,,,
73439,141,110,,,,,,,,,
396790,142,78,,,,,,,,,
269385,143,,36,,,,,,,,
172386,144,100,,,,,,,,,
36218,145,141,,,,,,,,,
163412,146,,,,25,,5,,,,
43015,147,108,,,,,,,,,
102680,148,114,,,,,,,,,
218417,149,90,,,,,,,,,
12493,150,129,40,,,,,,,,
144733,151,117,,,,,,,,,
429293,152,,,,20,,,,,,
391163,153,130,,,22,,,,,,
205896,154,133,,,,,,,,,
175640,155,94,,,,,,,,,
196340,156,116,,,,,,,,,
175155,157,111,,,,,,,,,
254640,158,,,,,,,3,,,
325494,159,,28,,,,,,,,
198928,160,123,,,,,,,,,
233371,161,126,,,24,,,,,,
178900,162,,,,,,,6,,,
180263,163,,48,,,,,,,,
189932,164,120,,,,,,,,,
172287,165,135,,,,,,,,,
220877,166,128,,,,,,,,,
463,167,,,,,18,,,,,
258779,168,127,,,23,,,,,,
235802,169,82,15,,,,,,,,
304783,170,122,,,,,,,,,
30549,171,177,,,37,,,,,,
132531,172,144,,,,,,,,,
118048,173,142,,,,,,,,,
147020,174,163,,,,,,,,,
209418,175,143,,,,,,,,,
266524,176,,,,28,,,,,,
14996,177,,,,34,,,,,,
161970,178,145,,,,,,,,,
358661,179,104,,,,,,,,,
400602,180,102,,,,,,,,,
268864,181,,,30,,,,,,,
249259,182,,,,,,7,,,,
263918,183,,,,29,,,,,,
262712,184,146,,,,,,,,,
271324,185,147,,,,,,,,,
77423,186,,,,,10,,,,,
274364,187,138,,,,,,,,,
34635,188,166,,,36,,,,,,
328871,189,152,,,,,,,,,
294484,190,139,,,,,,,,,
308765,191,131,,,,,,,,,
148949,192,155,,,32,,,,,,
271896,193,,47,,,,,,,,
364011,194,105,,,,,,,,,
